LANE_OID,POINT_NR,LATITUDE_L,LONGITUDE_L,X,Y,SIDE
238266436,1,-17.093718,-70.638915,325615.68,8109344.15,L
238266436,0,-17.09358,-70.638513,325658.37,8109359.79,L
238266436,0,-17.093407,-70.638577,325651.43,8109378.86,R
238266436,-1,-17.093545,-70.638979,325608.74,8109363.2,R
238266438,1,-17.094131,-70.640196,325479.75,8109297.27,L
238266438,0,-17.093841,-70.639322,325572.47,8109330.19,L
238266438,0,-17.093668,-70.639386,325565.53,8109349.26,R
238266438,-1,-17.093958,-70.640258,325473.04,8109316.41,R
238266757,4,-17.093841,-70.639322,325572.47,8109330.19,L
238266757,3,-17.093798,-70.639183,325587.27,8109334.99,L
238266757,2,-17.093767,-70.639081,325598.06,8109338.58,L
238266757,1,-17.093748,-70.639016,325605.03,8109340.69,L
238266757,0,-17.093718,-70.638915,325615.68,8109344.15,L
238266757,0,-17.093545,-70.638979,325608.74,8109363.2,R
238266757,-1,-17.09357,-70.639057,325600.47,8109360.32,R
238266757,-2,-17.093593,-70.639131,325592.63,8109357.75,R
238266757,-3,-17.093613,-70.639212,325583.96,8109355.43,R
238266757,-4,-17.093643,-70.639311,325573.53,8109352.11,R
238266757,-5,-17.093668,-70.639386,325565.53,8109349.26,R
238269013,5,-17.094947,-70.64269,325215.1,8109204.72,L
238269013,4,-17.094869,-70.642446,325240.99,8109213.6,L
238269013,3,-17.094899,-70.642395,325246.47,8109210.34,L
238269013,2,-17.094871,-70.642326,325253.75,8109213.42,L
238269013,1,-17.094822,-70.642313,325255.07,8109218.91,L
238269013,0,-17.094741,-70.642059,325282.05,8109228.1,L
238269013,0,-17.094567,-70.64212,325275.41,8109247.28,R
238269013,-1,-17.094774,-70.642751,325208.4,8109223.86,R
238269014,1,-17.095168,-70.643371,325142.81,8109179.71,L
238269014,0,-17.094947,-70.64269,325215.1,8109204.72,L
238269014,0,-17.094774,-70.642751,325208.4,8109223.86,R
238269014,-1,-17.095003,-70.643429,325136.51,8109197.87,R
238271487,1,-17.094418,-70.64106,325388.03,8109264.68,L
238271487,0,-17.094131,-70.640196,325479.75,8109297.27,L
238271487,0,-17.093958,-70.640258,325473.04,8109316.41,R
238271487,-1,-17.094245,-70.641122,325381.32,8109283.82,R
238271488,1,-17.094741,-70.642059,325282.05,8109228.1,L
238271488,0,-17.094418,-70.64106,325388.03,8109264.68,L
238271488,0,-17.094245,-70.641122,325381.32,8109283.82,R
238271488,-1,-17.094567,-70.64212,325275.41,8109247.28,R
238303228,1,-17.094566,-70.642125,325274.92,8109247.39,L
238303228,0,-17.095123,-70.643796,325097.6,8109184.3,L
238303228,0,-17.095296,-70.643734,325104.3,8109165.16,R
238303228,-1,-17.09474,-70.642064,325281.56,8109228.21,R
238303776,1,-17.09341,-70.638586,325650.41,8109378.48,L
238303776,0,-17.093568,-70.639069,325599.14,8109360.63,L
238303776,0,-17.093741,-70.639008,325605.83,8109341.47,R
238303776,-1,-17.093584,-70.638525,325657.05,8109359.3,R
238304189,1,-17.093906,-70.640104,325489.38,8109322.3,L
238304189,0,-17.094055,-70.640561,325440.9,8109305.36,L
238304189,0,-17.094229,-70.640499,325447.59,8109286.2,R
238304189,-1,-17.094082,-70.640041,325496.19,8109302.8,R
238304346,1,-17.094319,-70.641368,325355.23,8109275.44,L
238304346,0,-17.094566,-70.642125,325274.92,8109247.39,L
238304346,0,-17.09474,-70.642064,325281.56,8109228.21,R
238304346,-1,-17.094492,-70.641306,325361.92,8109256.28,R
238304347,1,-17.094055,-70.640561,325440.9,8109305.36,L
238304347,0,-17.094319,-70.641368,325355.23,8109275.44,L
238304347,0,-17.094492,-70.641306,325361.92,8109256.28,R
238304347,-1,-17.094229,-70.640499,325447.59,8109286.2,R
238509506,5,-17.093768,-70.638564,325653.09,8109338.87,L
238509506,4,-17.093695,-70.638663,325642.52,8109346.84,L
238509506,3,-17.093665,-70.638699,325638.62,8109350.16,L
238509506,2,-17.093642,-70.638689,325639.65,8109352.7,L
238509506,1,-17.093637,-70.638677,325640.94,8109353.33,L
238509506,0,-17.093584,-70.638525,325657.05,8109359.3,L
238509506,0,-17.09341,-70.638586,325650.41,8109378.48,R
238509506,-1,-17.093463,-70.638739,325634.25,8109372.49,R
238509506,-2,-17.093487,-70.638826,325625.02,8109369.79,R
238509506,-3,-17.093519,-70.638856,325621.86,8109366.16,R
238509506,-4,-17.093553,-70.638876,325619.69,8109362.47,R
238509506,-5,-17.093589,-70.638891,325618.19,8109358.47,R
238509506,-6,-17.093627,-70.638898,325617.42,8109354.26,R
238509506,-7,-17.093665,-70.638899,325617.4,8109349.98,R
238509506,-8,-17.093703,-70.638892,325618.13,8109345.76,R
238509506,-9,-17.09374,-70.638879,325619.58,8109341.73,R
238509506,-10,-17.093774,-70.638859,325621.71,8109338.02,R
238509506,-11,-17.093803,-70.638833,325624.47,8109334.75,R
238509506,-12,-17.093828,-70.638804,325627.67,8109332.07,R
238509506,-13,-17.093849,-70.638766,325631.71,8109329.77,R
238509506,-14,-17.093862,-70.638728,325635.75,8109328.38,R
238509506,-15,-17.093868,-70.6387,325638.74,8109327.76,R
238509506,-16,-17.093888,-70.638663,325642.7,8109325.49,R
238509506,-17,-17.093891,-70.638659,325643.13,8109325.24,R
